title,company,location,description
Senior Data Scientist,Deloitte,"Boston, MA 02116","[     Senior Data Scientist    Location: Remote Position       Do you enjoy exploring datasets? Are you passionate about creating algorithms that operate on terabytes of data? If so, Deloitte Digital is seeking creative minds and persistent problem solvers to build and support cutting-edge marketing data science solutions that help our clients deliver customer value at every touchpoint.       At Deloitte Digital Marketing Services, we combine our clients’ customer data across all channels (in-store, online &amp; call center) in order to develop state-of-the-art decisioning models that give them an edge in the marketplace.       We’re expanding fast and need brilliant data scientists like you to fuel our continuing innovation and growth. Along the way, you’ll find exceptional development opportunities limited only by your hunger for learning and applying new technologies in our exciting, start-up-like environment.        What you will do        As a Senior Data Scientist, you will be tasked with solving data problems end to end. This means:    • Being able to get an understanding of the multi-channel marketing optimization problem space    • Perform exploratory data analysis to understand relationships, opportunities to influence outcomes and how to attribute cross channel outcomes    • Specifying a research plan    • Running experiments and extracting the necessary data    • Being able to interpret the model that are being generated    • Develop a proof of concept to verify your ideas    • Assisting the Data Engineering team in setting your proof of concept live in our production environment    • Closing the loop to make sure that the proposed solution is performing as it should once it is released   Because this is a senior role, we are looking for candidates that can carry out research in an autonomous fashion.        Qualifications        Required    • Good problem decomposition skills and autonomy when faced with solving data problems. A PhD in a quantitative field (engineering, mathematics, physics, machine learning, statistics or computer science) is one way to acquire this experience. Master's degrees will still be considered as long as they can demonstrate the required ability.    • At least 3+ years of industry experience outside of academia.    • Experience manipulating big data using opensource frameworks. This means being familiar with tools such as Spark, Kafka, Hadoop, Impala and Luigi. In addition, because we handle very large volumes of data past work with cloud-based environment is required.    • Knowledge of current modeling tools such as XGBoost or Vowpal Wabbit (or equivalent)    • Be able to write high quality Python code. This means being familiar with unit testing, source control and code review    • Experience working in Agile teams and using Scrums to organize work    • Demonstrated communication capabilities. We ask that you be able to explain your insights to people beyond the data science team. This means knowing how to best craft your message and selecting the right visualizations    • Please note this position requires 10% travel       Preferred    •A proven ability deploying automated data processing pipelines.    •A deep interest in Data Science and AI. A good measure of this would be competition participation (Kaggle or other) as well as participation in open courses    •If you have code in the open domain (for example Github) or have written about AI/DS please share this with us    •Some experience in Ad Tech or Marketing technology is a plus.        Our team        You’ll join a team of passionate, talented data scientists who collaborate to design, build and maintain cutting-edge models that arm our clients with the ability to spot customer value and act upon it. If you’re intellectually curious, hardworking and solution-oriented, you’ll fit right into our fast-paced, collaborative environment. In addition to working with our data science team, you’ll also work closely with our data engineering team to develop top-of-the-line data pipelines.        How you’ll grow        At Deloitte Digital, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills, work with industry-leading talent on a daily basis, in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career, while delivering products and services to Fortune 500 clients. Explore Deloitte University, The Leadership Center.        Benefits        At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.        Deloitte’s culture        Who says work can’t be fun? At Deloitte Digital, the worlds of business, creative, and technology intersect to transform the way we work, play, and communicate. We can’t quite put our finger on it, but that combo creates something kind of magical. In studios or on the road, we believe in our people, and we understand that quality of life directly impacts quality of work. We pride ourselves on our flexible work environment and distinctive culture. Learn more about life at Deloitte Digital.        Corporate citizenship        Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.        Recruiter tips        We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.    HUX020   ________________________________________   As used in this posting, “Deloitte” means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. Certain services may not be available to attest clients under the rules and regulations of public accounting.   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law.      ]"
"Data Analyst (FT), Catholic Schools Office",Archdiocese of Boston,"Boston, MA","[    The Catholic Schools Office at the Pastoral Center in Braintree is seeking a Data Analyst.    RESPONSIBILITIES:      Maintain multiple databases, create reports and presentations from data and work with the student information system.   Support schools with implementation of assessments and student information system   Analyze data to support CSO projects and reporting.   Maintain online tools and resources to ensure maximum collaboration and productivity.   Respond to data inquiries and research requests from CSO staff and external partners.   Work with the CSO and school leaders to enable data-driven decision making on key issues.   Collect and analyze survey data for workshops and professional development offered by the CSO   Use available tools and software to collect, clean, manage and report data.   Other projects and functions as required by other office staff.      QUALIFICATIONS:      Demonstrated experience and proficiency in Microsoft Office Suite including Excel skills   Exceptional communication skills.   Demonstrated ability to handle confidential, time-sensitive and critical matters using good judgment, tact, respect and discretion.   Strong skills in organizing, multi-tasking and following through in a busy, changing environment.   Excellent relationship-building skills with a focus on service to others.   Ability to establish trust and work collaboratively ability to communicate effectively.   Willingness to support the mission of the Catholic Church.   Experience working or volunteering for a Catholic entity and knowledge and practice of the Catholic faith is a plus.     To apply, submit cover letter and resume to hr_staffing@rcab.org      ]"
Senior Data Scientist,SFL Scientific,"Boston, MA","[   SFL Scientific is expanding our data science consulting group and seeking senior and lead data scientists to design and build end to end approaches and ML/AI solutions across healthcare, life sciences, manufacturing, medical devices, and other industries. As a Senior Data Scientist, you will be work directly with clients to design and develop solutions for a wide range of data science and data engineering projects.  Our ideal candidate is an accomplished expert with deep technical ability and implementation skills that is able to find the correct mix of business objectives, value, cost, technical feasibility to solve complex and R&amp;D data science problems. The role of the Senior Data Scientist will include the entire workflow of a data science project: From ensuring data quality, ETL, EDA, modeling, throughout all stages of acquisition and processing to the cleaning, visualizing, analyzing, predictions/automation, and creation of a final product or pipeline.  This is a full-time position in Boston, MA. Flexible work schedule and minimal (less than 5%) travel to clients on-site.   Job Role &amp; Strengths:    Strong primary expertise as data engineer or data scientist, with the ability to stretch beyond one’s core field of expertise. Successful candidates share the following requirements:  Track record of diving into data to discover hidden patterns and conducting error/deviation analysis  High-level knowledge of various machine learning techniques and key parameters that affect their performance  Ability to develop experimental and analytic plans for data modeling processes  Strong client management skills – ability to lead and persuade, positive energy, focus on business impact and implementation supported by data quality &amp; EDA   Core Requirements:   Master’s degree in a relevant field 5+ years experience with various data analysis and visualization tools Proficient in traditional ML and deep learning techniques Proficient in core programming languages, such as: Python, R, C/C++, Scala and aux sets/tools - Keras, Tensorflow, PyTorch, Docker, Kubernetes, etc. Proficient with SQL and NoSQL Proficient with Tableau, R-Shiny, or other data visualization tools   Preferred Qualifications:   Proficient with AWS or Azure cloud computing environments Proficient with a distributed computing platform (Hadoop, Spark, etc.) Experience querying and administering big data storage services (Redshift, Teradata, Aurora, DynamoDB, etc.) Experience with general software release cycle, productionizing ML or predictive analytics models at scale.   Benefits:   Base salary, performance bonus/compensation, medical coverage, 401k plan, paid time off (vacation, personal/sick, parental, etc.), flexible work-schedule, on-going industry training, and other company-wide perks.  Job Type: Full-time  Salary: $100,000.00 to $150,000.00 /year  Experience:   XGBoost/LightGBM/etc.: 3 years (Required)  NLP - SpaCy/NLTK/LSTMs, etc.: 3 years (Required)  Tensorflow/Keras: 2 years (Required)   Education:   Master's (Required)   Location:   Boston, MA (Required)   Work authorization:   United States (Required)   Additional Compensation:   Bonuses  Other forms   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Flexible schedule  Parental leave  Professional development assistance   Schedule::   Monday to Friday    ]"
Diversity Summer Data Analyst Program,GID Investment Advisers LLC,"Boston, MA","[     Diversity Summer Data Analyst Program     GID Investment Advisers LLC   | Boston, MA | Summer 2020    This 10-week paid internship program is an outstanding opportunity for undergraduate students to learn about real estate, asset management, and general business. We are seeking high-achieving, underrepresented candidates, including female, Black, Hispanic/Latino, and Native American students.   GID is a privately held and fully integrated real estate company founded in 1960 that develops, owns, and operates a premier portfolio of existing and under-development properties valued at over $17 billion. Our corporate headquarters are located in the Financial District in Boston, and we have beautiful properties in major cities around the U.S., including New York, San Francisco, Los Angeles, Washington, Atlanta, Dallas, Houston, and Denver, run by our property division, Windsor Communities. We own and manage 124 investment properties and employ over 900 real estate professionals. GID’s in-house team is focused on the Top 20 US markets and has demonstrated competency in research, acquisitions, due diligence, development, lease-up, management, renovation, financing, technology, operations, portfolio management, asset management and dispositions.   GID is offering a premier paid summer internship opportunity in our Asset Management Group in Boston for students who are interested in the real estate industry. Each intern will gain meaningful work experience in a professional environment, working with one of the most preeminent real estate firms.     Duration:  This full-time, 10 week paid internship begins on Monday, June 8, 2020 and ends on Friday, August 14, 2020.     Internship Highlights:  Participants will be part of the Asset Management team at GID and will be assigned both a manager and a mentor. The program includes:    Orientation   Mentor and coaching program   Professional development classes covering a wide range of topics including:   Introduction to the Real Estate industry   Macro Market Dynamics   Sustainability   Market Selection – How to rank cities for investment   Impact of Technology on Real Estate   Deal Structuring   Due Diligence Process   Performance Reporting and Business Analytics   Interviewing Skills     Property Tours   Social outings in Boston, including a Red Sox game   A capstone project to be worked on throughout the 10 weeks and presented at the end of the internship to members of GID’s Executive Committee     Qualifications:  The summer analyst role is for highly motivated, underrepresented candidates pursuing a college or university degree and is usually undertaken during the second or third year of study .  If you have a demonstrated track record of the following, please apply below:    Interest in private equity and/or real estate   Working closely with team members on presentations and financial analysis   Performing comprehensive and in-depth analyses   Preparing presentations, proposals and other marketing materials   Strong competency in MS Office, especially in Excel and PowerPoint   Strong teamwork, communication, interpersonal and critical thinking skills   Ability to work additional hours as needed   Working knowledge of SQL. Ability to understand data structures and write code in SQL to extract information.   Basic data analytics. Ability to analyze and interpret data   Working knowledge of Business Intelligence software (Tableau, Microsoft BI)   Finance, Economics, Business, or Computer Science major    Drug testing and background checks are an employment requirement.  These are required steps in the hiring process.     GID is an Equal Opportunity Employer     ]"
Quality Data Analyst,Beth Israel Deaconess Hospital-Milton,"Milton, MA","[                     Beth Israel Deaconess Hospital-Milton is committed to improving the health of our community by providing exceptional, personalized health care with dignity, compassion and respect.    Beth Israel Deaconess Hospital – Milton is seeking full-time, Healthcare  Quality Data Analyst .    This position is full-time, 40 hours per week, day shift and benefit eligible.     Summary job description:     Under the direction and supervision of the Director of Healthcare Quality and Patient Safety, the Healthcare Quality Data Analyst will provide analytic and project management support to quality and safety initiatives throughout the organization.    The Quality Analyst will produce and maintain highly visible quality and performance scorecards and will provide data support for implementation of key quality improvement initiatives. The position requires strong analytic and organizational skills, initiative, ability to work independently, and a willingness to help develop a robust quality reporting infrastructure. This position will require collaboration with data owners across the organization.    Collaborates with the Director of Healthcare Quality and the Department of Information Services as needed to ensure accuracy, integrity, validity, reliability and consistency in report preparation.    Coordinates the implementation, maintenance and development of a departmental information system and performs detailed data analysis and database programming as necessary.       Qualifications:    Bachelor's degree in a quantitative oriented field such as Business, Economics, Statistics, Biostatistics, Epidemiology, Healthcare Administration.   Experience preferably in the healthcare industry with previous analytic/quantitative or operations experience required. Demonstrated proficiency with quantitative analysis of clinical data and familiarity with Access   Previous project management preferred   Solid analytical and problem solving skills/basic skills in statistical analysis   Advanced skills with Microsoft applications which may include Outlook, Word, and Excel, PowerPoint or Access and other web-based applications. May produce complex documents, perform analysis and maintain databases.   Strong written and verbal communication skills with focus on customer service   Ability to query systems, abstract data, and clearly summarize and present data   Balancing multiple projects       It is understood that this is a summary of key job functions and does not include every detail of the job that may reasonably be required.                      ]"
Senior Data Scientist-Systems Engineering,Cenergy International Services,"Cambridge, MA 02139","[    Senior Data Scientist – Systems Engineering   This role offers you a rare opportunity to directly impact the energy industry alongside a team of passionate, creative engineers and entrepreneurs in a fun, dynamic innovation center. Shell TechWorks (STW) has developed a company-leading technology delivery methodology that blends systems and design thinking with state-of-the-art technologies and tools, to produce highly effective solutions for Shell. In addition to developing creative systems and products, you will also be part of a truly collaborative, inclusive, multi-functional team with a mission to help Shell produce more and cleaner energy.  This position is assigned to Shell TechWorks. For more information about Shell TechWorks, please visit their website:  http://www.shell.com/global/future-energy/innovation/innovate-with-shell/shell-techworks.html .  Some examples of projects we have worked on recently include:   Predicting future maintenance cost savings and safety performance from adopting new technologies and workflows in the field.  Performing root cause analysis on the variance in construction costs of Shell hydrogen fueling stations.  Analyzing the financial transactions and transportation costs of a downstream business to identify cost saving opportunities.  Building a constraint database of sequencing and technologies used to plug and abandon wells.    Job Description     Application of Innovative Systems Thinking &amp; Disciplines  :  The candidate will be expected to work with customers (internal and external to Shell), the STW engineering team, and end users to frame business problems and uncover root causes. The candidate will be expected to use qualitative and quantitative techniques to understand and visualize complex systems. The candidate will help generate the data, analysis, and frameworks needed to empower customers and stakeholders to make better-informed decisions. STW is seeking individuals who are innovative and design-focused rather than process oriented! Candidates must have excellent critical and abstract thinking skills. Experience working in an Agile environment is preferred.    Leadership and Collaboration  : A senior systems engineer at STW is asked to perform the role of product owner and assume leadership positions on projects; it is imperative the candidate demonstrate the characteristics of a servant leader. The candidate must have the demonstrated ability to manage multiple tasks simultaneously, collaborate with junior and senior team members, and provide guidance and leadership for others. The candidate should feel comfortable working with minimal oversight.    Technical Knowledge:   In addition, the candidate must demonstrate deep knowledge in Data Science/Data Analysis. Due to the broad spectrum of projects STW will be engaging, the candidate must demonstrate an ability to rapidly gain understanding in engineering disciplines and theory that are foreign to him/her and provide meaningful analysis &amp; modeling products to the design process.  Some examples of previous projects related to data analytics include:   Developing a machine learning-based model to predict when and where corrosion is likely to occur in a downstream facility, enabling prioritization of maintenance activities  Utilizing machine vision analytics to build a system that provided an automated measure of actual performance metrics in the field, resulting in data-driven decision making  Using data analytics to generate a reliability model of an existing site in a renewable energies project that guided the design and improvements of future sites     Business Development:   Senior systems engineers are asked to support business development and grow our business. The candidate is expected to provide technical direction to Business Development staff to ensure candidate projects are in line with our core capabilities and are of strategic relevance to the engineering organization.    A Culture of Safety:    The candidate will be responsible for ensuring a healthy, safe, secure and environmentally conscious work environment is maintained at all times and by all staff.   Desired Skills and Experience    Bachelor’s degree in engineering, economics, computer science, statistics, mathematics or another quantitative discipline. A Master’s degree is a positive.  A minimum of 5 year’s experience with 2 years focused on Data Science/Analysis (e.g., Data Mining and Processing, Building Analytic Systems driving business insights, etc.)  A demonstrable track record of using Data Analytics to deliver value in a working environment  Knowledge in the following subject areas:  Understanding of machine learning algorithms, e.g., linear regression, QDA, etc.  Proficiency in scripting, querying and use of analytics tools e.g., Python, R, MatLab, Tensorflow, etc.  Experience performing analysis with large datasets  Visualization and communication of complex systems and analyses    Desired Personality Traits and Abilities     Excels in “grey areas” with the ability to take ambiguous stakeholder challenges and establish an actionable project execution strategy that satisfies their needs  Strong collaborative and interpersonal skills with the ability to manage complex stakeholder relationships  Enthusiastic individual with a continuous improvement mindset that has a willingness to contribute to and enhance the culture and our ways of working at STW  Ability and drive to deliver on time, while working in a semi-autonomous environment  Willingness to travel up to 20% domestically and internationally   TechWorks is invested in maintaining its inclusive, fun, and close-knit culture. We provide generous training and development opportunities for employees, in addition to compensation, benefits, and vacation.  Every day we work to provide an environment where all employees feel valued and included, able to nurture their talent as individuals and as part of a collaborative team.  A diverse and inclusive workplace, embedded in our principles of honesty, integrity and respect, brings together remarkable people and enables them to be themselves. At Shell, you will be able to apply and develop your skills and knowledge as part of a collaborative team that is helping to innovate and play a part in building a better energy future.  This role is based in a vibrant office environment located in the Northwest corner of MIT’s campus, close to Kendall Square in Cambridge, Massachusetts.  Please apply directly to the position at  http://shelltechworks.mytribehr.com/careers  by submitting a cover letter and resume for consideration.  Job Type: Full-time   ]"
Data Analyst (SQL & Python) - Direct Hire - Springfield MA OR Boston MA,Insight Global,"Boston, MA","[   Must Haves:  - 5+ years of data analytics experience  - Strong communication skills, ability to interact with the business / stakeholders, gather their requirements and provide solutions  - Expertise in SQL and ability to drive conclusions from large data sets  - Strong understanding of working with Python scripts, or ability to automate data  Day to Day:  We are seeking multiple Data Analysts to join one of our top clients Data Engineering/ Data Science organization sitting onsite in either Springfield MA (01111) OR Boston MA (02210). This opportunity is joining a unique group within a top Fortune 75 client- and this particular organization is called Customer Experience. In terms of pace, culture and technology, Customer Experience functions much like a cutting-edge technology startup with the backing of a highly successful financial/insurance institution. The organization is responsible for all digital transition across the enterprise. They work with leading programming languages, open source technologies, and cloud technologies as well as seek to develop their own cutting edge proprietary technologies to innovate and transform their industry.  This Data Analyst will play a critical role in the Data Analytics team’s success. Supporting driven data decision making has become a major initiative within the enterprise has become a major component to their culture! There are several transformative projects that are allowing the enterprise to better ingest, drive, consume their customer data that will ultimately allow the business to have more effective results.  The ideal candidate will be proficient in data management and have a strong analytical capability. This person should be detail oriented and have the ability to work with collaborative and cross-functional teams. As this team looks to expand its analytical capabilities- they will need someone to be able to partner with the stakeholders to understand their needs, and then provide expertise in data analysis that will directly contribute to the strategic efforts. A candidate that will be successful in this role will have a strong background in business data initiatives, knowledge of SQL, as well as experience with Python. This person should be able to look at the company’s KPIs, track customer information, and write queries / reports that will provide real time updates to the team. This is a “self-service” model and the business it ultimately looking to create a completely automated data platform.  If you are someone that is looking to make an immediate impact on a transformative project for this company’s strategy – we should talk!  Job Type: Full-time  Experience:   data analytics: 5 years (Required)  SQL: 3 years (Preferred)  Python: 1 year (Preferred)   Work Location:   Multiple locations   Schedule::   Monday to Friday    ]"
Senior Data Scientist - Clinical Data Science,NaN,NaN,"[     Description    The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientist work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.      Responsibilities      Role:  Senior Data Scientist - Clinical Data Science    Assignment:  Clinical Data Science, Digital Health &amp; Analytics    Location:  Boston, MA       Responsibilities      Assignment Capsule    Digital Health and Analytics is a new area of Humana, focused on transforming the health experience for Humana members through the use of technology and analytics. We are looking for a Senior Data Scientist who will design studies and utilize cutting edge predictive modeling techniques, to rigorously test hypotheses, and complete analyses to turn data into actionable solutions. Located in Humanas new Studio H location in Boston, the Senior Data Scientist will work cross-functionally and collaboratively with teams across Humana utilizing cutting edge machine learning techniques to implement and execute test and learn projects. The ideal candidate will have experience conducting experiments in an applied healthcare setting, demonstrated innovative and creative methods for overcoming testing constraints, as well as successfully applying machine learning techniques to address business needs.       Description     The Senior Data Scientist uses mathematics, statistics, machine learning, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Senior Data Scientists work assignments involve moderately complex to complex issues where the analysis of situations and data requires an in-depth evaluation of variable factors. The Senior Data Scientist uses machine learning and artificial intelligence to develop sophisticated models, using both structured and unstructured data sets for analysis.       Responsibilities      As a Senior Data Scientist, you will:    Use techniques from supervised and unsupervised machine learning, statistical analysis, Or predictive modeling to deliver business insights to prospects and customers   Work directly with customers to educate them on moving beyond BI and training their internal resources to execute advanced forms of analytics   Create reusable implementations of statistical tests and models using the available technologies in the ecosystem   Work with the academic and business community to develop new techniques and to contribute to research in the area of advanced analytics on large databases   Generate new product requirements for the engineering group to enhance the analytics capabilities of the database   Assist in customer engagement management, requirements definition, project scoping, timeline management, and results documentation to ensure professional relationship management   Use machine learning techniques to assess outcomes of interventions, clinical programs or marketing campaigns   Build smart systems that learn from health intervention outcomes over time       Role Essentials     Masters Degree in Math, Statistics, Computer Science, Engineering or related field and 2 years of related experience   3 years technical experience   Experience working with and analyzing various types of data using R, Python or similar software   Experience in using mathematics, statistics, modeling, experimental study design, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions   Experience using machine learning techniques such as neural networks, random forest, etc.   History of solving problems, creating solutions and driving change within a team   Naturally curious and comfortable with ambiguity   Demonstrated strategic and analytical thinking   Clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to higher-level business insights and key takeaways   Strong interpersonal and consulting skills       Role Desirables     PhD Degree in Math, Statistics, Computer Science, Engineering or a related field   5+ years technical experience   Experience in Big Data environment specifically PySpark, Scala, or Microsoft Azure   Previously applied machine learning to help a firm reach objectives   Work experience in a health care and/or Insurance setting       Additional Information:    This position is based in Boston and will require occasional travel (approximately 10%) to Humana headquarters in Louisville, KY and other Humana locations.    Scheduled Weekly Hours      Scheduled Weekly Hours    40   ]"
Data Scientist,Confidential,"Brookline, MA 02446","[    Job Description:    This position will focus on developing and implementing acomplete data analytical system for a novel device that measures musclecondition and disease status. Utilizing a large pre-existing data set, thisindividual will build out a software platform that effectively performclassification via machine learning and other advanced analytics. This workwill be undertaken with an already existing and expanding large backend dataset.   Job Responsibility:    · Lead the design and development of machinelearning models and algorithm implementation  · Be a subject matter expert on machine learningand predictive modeling.  · Drive technical innovation through activeresearch and applications of new theories, techniques, and technologies.  · Work closely with engineers to deploy models inproduction both in real time and in batch process.   Basic Qualifications   · Great familiarity with advanced analyticalmethods, including machine learning and neural networks is required.  · Three or more years of relevant work experience.  · Experience with at least one of followingprograming language: Python, R, MATLAB, Scala  · Bachelor’s degree in math, computer science,electrical engineering or equivalent.  · Be passionate on working with interesting andchallenging data set.  · Good interpersonal skills andinterest/excitement about working in a start-up environment are also critical.   PreferredQualifications   · MS or PhD or equivalent engineering degreeswould be highly desirable.  · Experience in practicing machine learning anddata science in health or medical data.  · Experience with multiple AI/ML Algorithms.  · Experience with AWS ML and AI services orMicrosoft Machine Learning Studio.  · Be familiar with basic cloud and edge computingconcept.  · Be familiar with AWS or Microsoft big data infrastructure.  · Be familiar with Git or Bitbucket or GitHub.  Job Types: Full-time, Part-time  Experience:   relevant: 1 year (Preferred)   Work Location:   Multiple locations  Fully Remote   This Company Describes Its Culture as:   Detail-oriented -- quality and precision-focused  Outcome-oriented -- results-focused with strong performance culture    ]"
Data Analyst (Entry Level),Bay State Search,"Waltham, MA","[    Our Technology Finance Software company is looking to add an Entry Level Data Analyst to our team to assist in a long term data migration/ billing project!     What you will do:     Actively participate in ongoing project within billing CRM department  Review and analyze data and assist in migration  Perform QA and auditing on migration  Must have high attention to detail as you will be working with sensitive financial data within the billing department    Quick learner - will train, but MUST have strong excel and/ or data experience  Experience with Oracle or Salesforce a plus!  Degrees in finance, economics, business, or equivalent experience preferred    Must be a team player   Please reach out to acohen@ baystatesearch.com / 617-500-7552 for immediate consideration!  Job Type: Full-time   ]"
"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","[    The Product Design and Modeling team has an opening for a Data Science IC position that will drive pricing and non-pricing sophistication in the US Design team and will act as a technical and subject matter expert for US modeling. The Individual Contributor role will report to one of the Auto or Property/Specialty Design Managers but also have opportunities to work on projects across personal and business lines as well as globally in partnership with the East &amp; West Design team.    Responsibilities:      Build GLM loss cost models using Emblem across Auto or Property/Specialty products, as well as adjacent products (e.g. Business Lines, East/West products, New Product initiatives)     Build complex non-pricing models (e.g., models to identify customers for non-renewal)     Explore and utilize advanced modeling techniques (e.g., machine learning techniques and Elastic Nets)     Work with massive amounts of data to build sophisticated models     Collaborate with Delivery, State, and other teams to help implement new pricing programs, including supporting material and responding to DOI objections       Act as a mentor and help develop less experienced analysts on the team      Qualifications:      Analyst I: Bachelors w/ 3+ years relevant experience; Masters w/ 0-1 years relevant experience     Analyst II: Bachelors w/ 4+ years, Masters w/ 2+ years, or Ph. D with 0-1 years of relevant experience     Advanced degree in quantitative field or actuarial credentials preferred.     Experience with predictive modeling and statistical software packages (e.g., SAS, Emblem, Python/R) highly desired.     Sound knowledge of actuarial techniques and standards, as well as other business operations including Financial, Underwriting, Legal, Statistics, Claims, Sales departments.     High-level knowledge of data sources, tools, and the business (lines, systems, pricing plans)     Strong MS Office Excel and SAS skills preferred; Ability to build complex models. Expert skills in Excel, PowerPoint highly desired.     Ability to exchange ideas and convey complex information clearly and concisely, both verbally and in writing.      This is a range posting (grades 15 and 16). Compensation will be based on experience and location.     Benefits:    We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits  Overview:  At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed. We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.   ]"
Diversity Summer Data Analyst Program,GID Investment Advisers LLC,"Boston, MA","[     Diversity Summer Data Analyst Program     GID Investment Advisers LLC   | Boston, MA | Summer 2020    This 10-week paid internship program is an outstanding opportunity for undergraduate students to learn about real estate, asset management, and general business. We are seeking high-achieving, underrepresented candidates, including female, Black, Hispanic/Latino, and Native American students.   GID is a privately held and fully integrated real estate company founded in 1960 that develops, owns, and operates a premier portfolio of existing and under-development properties valued at over $17 billion. Our corporate headquarters are located in the Financial District in Boston, and we have beautiful properties in major cities around the U.S., including New York, San Francisco, Los Angeles, Washington, Atlanta, Dallas, Houston, and Denver, run by our property division, Windsor Communities. We own and manage 124 investment properties and employ over 900 real estate professionals. GID’s in-house team is focused on the Top 20 US markets and has demonstrated competency in research, acquisitions, due diligence, development, lease-up, management, renovation, financing, technology, operations, portfolio management, asset management and dispositions.   GID is offering a premier paid summer internship opportunity in our Asset Management Group in Boston for students who are interested in the real estate industry. Each intern will gain meaningful work experience in a professional environment, working with one of the most preeminent real estate firms.     Duration:  This full-time, 10 week paid internship begins on Monday, June 8, 2020 and ends on Friday, August 14, 2020.     Internship Highlights:  Participants will be part of the Asset Management team at GID and will be assigned both a manager and a mentor. The program includes:    Orientation   Mentor and coaching program   Professional development classes covering a wide range of topics including:   Introduction to the Real Estate industry   Macro Market Dynamics   Sustainability   Market Selection – How to rank cities for investment   Impact of Technology on Real Estate   Deal Structuring   Due Diligence Process   Performance Reporting and Business Analytics   Interviewing Skills     Property Tours   Social outings in Boston, including a Red Sox game   A capstone project to be worked on throughout the 10 weeks and presented at the end of the internship to members of GID’s Executive Committee     Qualifications:  The summer analyst role is for highly motivated, underrepresented candidates pursuing a college or university degree and is usually undertaken during the second or third year of study .  If you have a demonstrated track record of the following, please apply below:    Interest in private equity and/or real estate   Working closely with team members on presentations and financial analysis   Performing comprehensive and in-depth analyses   Preparing presentations, proposals and other marketing materials   Strong competency in MS Office, especially in Excel and PowerPoint   Strong teamwork, communication, interpersonal and critical thinking skills   Ability to work additional hours as needed   Working knowledge of SQL. Ability to understand data structures and write code in SQL to extract information.   Basic data analytics. Ability to analyze and interpret data   Working knowledge of Business Intelligence software (Tableau, Microsoft BI)   Finance, Economics, Business, or Computer Science major    Drug testing and background checks are an employment requirement.  These are required steps in the hiring process.     GID is an Equal Opportunity Employer     ]"
